dataset,site,start_time,end_time
LIVE_PRECIP_RAINE_1MIN,ELMST,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,GLENS,2025-01-27 19:41:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,SPENF,2024-01-01 00:02:26.21,2024-08-07 07:03:22.39
LIVE_PRECIP_1MIN,GLENW,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_SOILMET_30MIN,EASTB,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_1MIN,HADLW,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_SOILMET_30MIN,HYBRY,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_1MIN,HARTW,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,HENFS,2025-01-27 19:41:00,2026-03-03 08:07:00
LIVE_SOILMET_30MIN,LODTN,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_1MIN,HLACY,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,CGARW,2025-01-27 21:48:00,2026-03-02 16:03:00
LIVE_SOILMET_30MIN,SHEEP,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_1MIN,LIZRD,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,HLACY,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,LULLN,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,MOORH,2025-01-27 19:41:00,2026-03-03 08:04:00
LIVE_SOILMET_30MIN,CHOBH,2025-01-27 19:00:00,2026-03-03 08:00:00
LIVE_PRECIP_RAINE_1MIN,GLENS,2025-01-27 21:48:00,2026-03-03 08:03:00
COSMOS_STATUS_1HOUR_2024_LOOPED,MOREM,2024-01-01 00:02:22.87,2024-08-08 12:02:24.14
LIVE_PRECIP_1MIN,MOREM,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,HOLLN,2025-01-27 19:41:00,2026-03-03 08:02:00
LIVE_PRECIP_RAINE_1MIN,HARTW,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,MORLY,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,HYBRY,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,NWYKE,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,PLYNL,2025-01-27 19:41:00,2026-03-03 08:04:00
COSMOS_STATUS_1HOUR_2024_LOOPED,CHOBH,2024-01-01 00:02:24.39,2024-08-09 07:03:22.63
LIVE_PRECIP_1MIN,PORTN,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,HILLB,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,GISBN,2025-01-27 19:41:00,2026-03-02 20:02:00
LIVE_PRECIP_1MIN,REDHL,2025-01-27 19:41:00,2026-01-30 10:02:00
COSMOS_STATUS_1HOUR_2024_LOOPED,CRICH,2024-04-04 08:02:26.68,2024-08-19 07:02:31.82
COSMOS_STATUS_1HOUR_2024_LOOPED,WADDN,2024-04-04 00:02:27.18,2024-08-09 06:03:21.93
LIVE_PRECIP_1MIN,RISEH,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,CHIMN,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,SHEEP,2025-01-27 19:41:00,2026-03-03 08:04:00
LIVE_PRECIP_1MIN,STGHT,2025-01-27 19:41:00,2025-11-26 12:03:00
LIVE_PRECIP_1MIN,TADHM,2025-01-29 01:36:00,2025-10-21 09:03:00
LIVE_PRECIP_RAINE_1MIN,BALRD,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,NWYKE,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,WADDN,2025-01-29 01:36:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,BICKL,2025-01-27 21:48:00,2026-03-03 08:02:00
LIVE_PRECIP_RAINE_1MIN,LODTN,2025-01-27 21:48:00,2026-03-03 08:04:00
LIVE_PRECIP_RAINE_1MIN,BUNNY,2025-01-27 21:48:00,2026-03-03 08:03:00
LIVE_PRECIP_1MIN,FIVET,2025-01-27 19:41:00,2026-03-03 08:03:00
LIVE_PRECIP_RAINE_1MIN,CARDT,2025-01-27 21:48:00,2025-02-11 11:02:00
