NRFA_ID,RIVER,LOCATION,NAME,COUNTRY_CODE,EASTING,NORTHING,CATCHMENT_AREA,ALTITUDE,LATITUDE,LONGITUDE,OPERATOR_ID,ORGANISATION_ID,OPERATOR_STATION_ID,TEXT_GENERAL,IsPrivate
8011,Livet,Minmore,Livet at Minmore,GB-GBN,320160,829003,104,215.1,57.34451355710817,-3.32822296,SEPA-NW,SEPA,234279,Velocity area station about 13m wide.
8013,Feshie,Feshie Bridge,Feshie at Feshie Bridge,GB-GBN,284986,804711,231,231.9,57.11889937011284,-3.901082907,SEPA-NW,SEPA,234217,"Velocity area station with a boulder control. Old station, 0.5km upstream operated between 1951-1975 (no flow data published). Station added to peak flows dataset in September 2019 (WINFAP Files v8)."
8015,Fiddich,Auchindoun,Fiddich at Auchindoun,GB-GBN,335500,839950,44.5,177.5,57.445261132478606,-3.076277968,SEPA-NW,SEPA,234158,"Velocity area station on deep, wide pool. Rock bar provides control. Station closed in November 2010 due to long-term hydrometric issues and should be treated with caution."
8016,Conglass Water,Auchriachan,Conglass Water at Auchriachan,GB-GBN,317550,819120,40.8,335,57.25529694875838,-3.368275215,SEPA-NW,SEPA,,"Straight, steep reach with gauge located on a pool. Low flow control provided by kerb stones built into bed (summer 1991). Post-gauge installed 1974 for resource monitoring; continuous recording 1/8/92 - 31/8/95. Station abandoned due to floods of Sep 1995."
8017,Burn of Carron,Dailuaine,Burn of Carron at Dailuaine,GB-GBN,323680,841545,15.2,100,57.45774970787658,-3.273656396,SEPA-NW,SEPA,,Velocity area station established to support pollution monitoring. Station closed Apr 1994.
8018,Avon,Tomintoul,Avon at Tomintoul,GB-GBN,316151,817523,185,307.1,57.24070096568079,-3.390915878,SEPA-NW,SEPA,234325,Velocity area station. Station closed during 2003.
8019,Water of Ailnack,Delnabo,Water of Ailnack at Delnabo,GB-GBN,316139,817068,48,316,57.23661276126378,-3.390960724,SEPA-NW,SEPA,,
8021,Nethy,Forest Lodge,Nethy at Forest Lodge,GB-GBN,302232,816015,38.8,291,57.22439601255166,-3.620844727,SEPA-NW,SEPA,234220,"Secondary, velocity area station. Natural control. Station closed during 2009."
8807,Spey,Laggan Bridge,Spey at Laggan Bridge,GB-GBN,261400,794300,220.2,243,57.01894333483287,-4.284528762,ALCAN,ALCAN,,Velocity-area station. From 1944 a broad crest weir measures compensation and flood flows from Spey and Mashie Dams.
9001,Deveron,Avochie,Deveron at Avochie,GB-GBN,353217,846431,441.6,81.8,57.50564632618678,-2.78237795,SEPA-NW,SEPA,234161,"Velocity area station, about 35 m wide."
9002,Deveron,Muiresk,Deveron at Muiresk,GB-GBN,370551,849833,954.9,25.3,57.53766590651705,-2.493533356,SEPA-NW,SEPA,234286,"Velocity area station, about 38m wide."
9003,Isla,Grange,Isla at Grange,GB-GBN,349350,850614,176.1,91.7,57.54279920168811,-2.847775041,SEPA-NW,SEPA,234228,"Velocity area station, about 17m wide."
9004,Bogie,Redcraig,Bogie at Redcraig,GB-GBN,351934,837440,179,120,57.42475755503483,-2.802015373,SEPA-NW,SEPA,234298,Velocity area station about 17m wide.
9005,Allt Deveron,Cabrach,Allt Deveron at Cabrach,GB-GBN,337839,829102,67,288,57.348159991700264,-3.03456584,SEPA-NW,SEPA,234176,The station has been in operation since 1948 and SEPA digital records begin at 29/01/1990. The pre-1990 record exists as paper charts from a clockwork recorder. Station added to peak flows dataset in August 2024 (WINFAP Files v13).
9006,Deskford Burn,Cullen,Deskford Burn at Cullen,GB-GBN,350418,866670,46.5,15,57.68712294441606,-2.833230846,SEPA-NW,SEPA,234192,Representative site for Banff coastal streams. 8m wide section above old mill weir. Station added to peak flows dataset in September 2020 (WINFAP Files v9).
9007,Forgue Burn,Inverkeithny,Forgue Burn at Inverkeithny,GB-GBN,362715,846967,88.3,51,57.51134404310582,-2.623967756,SEPA-NW,SEPA,,"10m wide pool with gravel control, gaining stability after ceasing to be used as an agricultural ford. Originally a daily-read post-gauge (records from 1974) converted to continuous recording Apr 1990. Station abandoned due to damage caused by floods of Sep 1995."
9008,Burn of Boyne,Scotsmill,Burn of Boyne at Scotsmill,GB-GBN,360750,865070,53,31,57.673774669266464,-2.659700813,SEPA-NW,SEPA,234303,"Velocity area station with natural control. Opened 21/12/1999 to obtain data on a fairly small coastal catchment. Good for comparison with 9003 and 9006. Station closed in July 2011 due to long-term hydrometric issues and should be treated with caution, especially at high flows."
9009,Idoch Water,Turriff,Idoch Water at Turriff,GB-GBN,372471,849379,95,34.1,57.53370934,-2.461413861,SEPA-NW,SEPA,234329,Velocity area station. Station closed during 2011.
9010,Deveron,Huntly,Deveron at Huntly,GB-GBN,351641,840809,225.49,117.5,57.45498573834192,-2.807560272,SEPA-NW,SEPA,369548,20m open channel with full cableway. Gravel boulder and rock control. Station added to peak flows dataset in September 2019 (WINFAP Files v8).
9801,Allt Deveron,Kingsford Bridge,Allt Deveron at Kingsford Bridge,GB-GBN,337800,829100,67,288,57.348136700468494,-3.035213271,GRWD,GRWD,,
10001,Ythan,Ardlethen,Ythan at Ardlethen,GB-GBN,392436,830912,448.1,7.5,57.368607536294626,-2.127403848,SEPA-NE,SEPA,,"Velocity area station, about 17m wide. Station closed in Dec 1982 and replaced by 10003 (Ellon), 2.5km d/s. Station demolished in 1985."
10002,Ugie,Inverugie,Ugie at Inverugie,GB-GBN,410113,848516,325,8.5,57.52669114461923,-1.832792327,SEPA-NE,SEPA,234249,Velocity area station; section about 30m wide.
10003,Ythan,Ellon,Ythan at Ellon,GB-GBN,394684,830370,523,3.8,57.36377126704415,-2.090017336,SEPA-NE,SEPA,234210,"Velocity area station with natural control; about 18m wide. Replacement for 10001 (2.5km u/s, 1965-1983, chart records back to 1939)."
10031,South Ugie Water,Mintlaw,South Ugie Water at Mintlaw,GB-GBN,400123,846879,104.7,29,57.512097220881884,-1.999601393,SEPA-NE,SEPA,234280,Station closed in 2004 due to long-term hydrometric issues.
11001,Don,Parkhill,Don at Parkhill,GB-GBN,388770,814190,1273,32.4,57.21832145039589,-2.18758646,SEPA-NE,SEPA,234292,"Velocity area station, about 37m wide section. Lowest gauging station on the Don."
11002,Don,Haughton,Don at Haughton,GB-GBN,375677,820150,787,55,57.271346753845066,-2.404963943,SEPA-NE,SEPA,234235,Velocity area station; about 40m wide.
11003,Don,Bridge of Alford,Don at Bridge of Alford,GB-GBN,356818,817072,499,133.2,57.24230293191795,-2.717123058,SEPA-NE,SEPA,234170,"Velocity area station, one of four stations on the River Don. Culfork is the most upstream, then Alford, with Haughton and Parkhill further downstream."
11004,Urie,Pitcaple,Urie at Pitcaple,GB-GBN,372104,825981,198,67.4,57.323518778236235,-2.464869562,SEPA-NE,SEPA,234293,Velocity area station about 16m wide. Station replaced 11801. Removed from Peak Flow Dataset in August 2021 (WINFAP Files v10).
11005,Don,Mill of Newe,Don at Mill of Newe,GB-GBN,337027,812058,187,267,57.19497053881385,-3.043715325,SEPA-NE,SEPA,,Velocity-area station with complex weir of unorthodox design. Principally a low flow station. Closed on 9/6/94.
11006,Don,Culfork,Don at Culfork,GB-GBN,332985,810480,103.4,301,57.18022426122559,-3.110163184,SEPA-NE,SEPA,234191,Velocity area station.
11801,Urie,Urieside,Urie at Urieside,GB-GBN,377100,822900,239,51.7,57.29612277605448,-2.381624197,GRWD,GRWD,,
12001,Dee,Woodend,Dee at Woodend,GB-GBN,363482,795613,1370,70.5,57.050129088997984,-2.603567171,SEPA-NE,SEPA,234333,"Velocity area station; about 60m wide section. Flow records for Woodend are an amalgamation from two different stations. Present station (built in 1972) replaced earlier station (Cairnton, located approx. 1 mile d/s from Woodend at an abstraction point - some daily staff readings from 1911, continuous flow records from 1929, chart records from 1934) on same reach. C/m measurements at Woodend initiated by Capt. McClean. Cairnton continued operating until the end of 1984."
12002,Dee,Park,Dee at Park,GB-GBN,379739,798317,1844,22.6,57.075423991117916,-2.335825152,SEPA-NE,SEPA,234291,Velocity area station; section about 50m wide.
12003,Dee,Polhollick,Dee at Polhollick,GB-GBN,334395,796531,690,216.7,57.05514628,-3.083180727,SEPA-NE,SEPA,234294,"Velocity area station, about 52m wide section."
12004,Girnock Burn,Littlemill,Girnock Burn at Littlemill,GB-GBN,332248,795485,30.3,245.4,57.04544066290427,-3.118285689,SEPA-NE,SEPA,234265,Velocity area station. Transferred to NERPB in July 1994. No records of earlier ratings or gaugings. Important catchment for fishery research. Station closed during 2011.
12005,Muick,Invermuick,Muick at Invermuick,GB-GBN,336423,794759,110,200.7,57.03951542940381,-3.049305031,SEPA-NE,SEPA,234247,"Velocity area station, about 20m wide."
12006,Gairn,Invergairn,Gairn at Invergairn,GB-GBN,335231,797050,150,217.7,57.05992612706319,-3.069535417,SEPA-NE,SEPA,234243,Velocity area station with cableway; about 15m wide section.
12007,Dee,Mar Lodge,Dee at Mar Lodge,GB-GBN,309788,789522,289,331.9,56.98804048399086,-3.486197878,SEPA-NE,SEPA,234274,"Velocity area station, about 45m wide. Highest gauging station on the Dee."
12008,Feugh,Heugh Head,Feugh at Heugh Head,GB-GBN,368703,792800,229,69,57.025245684844755,-2.517160942,SEPA-NE,SEPA,234237,"Velocity area station, about 20m wide."
12009,Water of Dye,Charr,Water of Dye at Charr,GB-GBN,362411,783457,41.7,239,56.94084905403977,-2.61940232,SEPA-NE,SEPA,234183,"Compound critical-depth flume (constructed by Grampian Regional Council, repaired in 1983)."
12010,Tarland,Aboyne,Tarland at Aboyne,GB-GBN,353320,798736,71.6,121,57.07726162,-2.771636943,SEPA-NE,SEPA,302205,"Velocity area station opened in 2003. Narrow channel with fairly steep sides and natural control. Lots of research activity in the catchment, also flooding problems. Station closed during 2011 due to hydrometric and instrument issues."
12801,Glen Dye,Bridge of Dye,Glen Dye at Bridge of Dye,GB-GBN,365100,786100,,231.4,56.96480183497566,-2.575577014,GRWD,GRWD,,Low flow flume set in broad crested weir.
12802,Dee,Balmoral,Dee at Balmoral,GB-GBN,326200,794800,,,57.03835902,-3.21773996,,,,
12803,Dee,Dinnet,Dee at Dinnet,GB-GBN,346700,798300,,,57.07262540897291,-2.880729865,,,,
12804,Dee,Cults,Dee at Cults,GB-GBN,,,,,,,,,,
13001,Bervie,Inverbervie,Bervie at Inverbervie,GB-GBN,382648,773370,123,70,56.85144054973192,-2.286119466,SEPA-NE,SEPA,234241,"Velocity area station, about 10m wide."
13002,Luther Water,Luther Bridge,Luther Water at Luther Bridge,GB-GBN,365893,767045,138,24.5,56.79369079146695,-2.559970203,SEPA-NE,SEPA,14928,Velocity area station 10m wide. Stable bedrock control at low flows.
13003,South Esk,Stannochy Bridge,South Esk at Stannochy Bridge,GB-GBN,358364,759176,487,29,56.72238988500542,-2.681932763,SEPA-NE,SEPA,,
13004,Prosen Water,Prosen Bridge,Prosen Water at Prosen Bridge,GB-GBN,339574,758549,104,109.3,56.71469975152963,-2.988763616,SEPA-NE,SEPA,14915,Velocity area station 16m wide. Fairly stable rock and boulder control.
