"ID","locHistory_Catchment","locHistory_LocationName","locHistory_SiteCode","locHistory_GridReference","locHistory_Date","locHistory_AssetID","locHistory_MovementType","locHistory_Date_End","locHistory_Sensor_Height","locHistory_Canopy_Height_At_Install","locHistory_Sensor_Depth","locHistory_Instrument_In_Use","locHistory_Notes","locHistory_DistFromInlet","locHistory_Datum","locHistory_DistFromDatum","locHistory_Sensor firmware","locHistory_Vertical offset","locHistory_North offset","locHistory_East offset","locHistory_Azimuth","locHistory_CPEC_Pump_Flow_Rate"
80,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1548,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
148,,"xx-UKCEH_Wallingford","xx-UKCEH_Wallingford",,24/02/2026 00:00:00,1582,"Deploy",,500.00,250.00,0.00,"Yes",,0.00,0.00,0.00,,"-1.5","-15","-3",,
149,,,"xx-UKCEH_Wallingford",,26/02/2026 00:00:00,108,"Swap",,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
150,,,"xx-UKCEH_Wallingford",,23/02/2026 00:00:00,1583,"Packed",25/02/2026 00:00:00,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
151,"Severn","Carreg Wen","Carreg Wen",,25/02/2026 00:00:00,1583,"Deploy",,0.00,0.00,0.00,"Yes",,0.00,0.00,0.00,,,,,,
81,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,649,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
82,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1549,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
83,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,632,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
84,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,1482,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
85,,,"xx-UKCEH_Wallingford",,09/02/2026 00:00:00,644,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,
