FLAG_DEF,FLAG_COLUMN,FLAG_SCHEME
HMP_RH_FLAG_DEF,HMP_RH_CORE_FLAG,core_flag_scheme
HMP_RH_FLAG_DEF,HMP_RH_CORRS_FLAG,fdri_correction_flag_scheme
HMP_RH_FLAG_DEF,HMP_RH_INFILL_FLAG,fdri_infill_flag_scheme
HMP_RH_FLAG_DEF,HMP_RH_QC_FLAG,fdri_quality_control_flag_scheme
HMP_TEMP_AIR_FLAG_DEF,HMP_AirTemp_CORE_FLAG,core_flag_scheme
HMP_TEMP_AIR_FLAG_DEF,HMP_AirTemp_CORRS_FLAG,fdri_correction_flag_scheme
HMP_TEMP_AIR_FLAG_DEF,HMP_AirTemp_INFILL_FLAG,fdri_infill_flag_scheme
HMP_TEMP_AIR_FLAG_DEF,HMP_AirTemp_QC_FLAG,fdri_quality_control_flag_scheme
LWIN_FLAG_DEF,R_LW_in_Avg_CORE_FLAG,core_flag_scheme
LWIN_FLAG_DEF,R_LW_in_Avg_CORRS_FLAG,fdri_correction_flag_scheme
LWIN_FLAG_DEF,R_LW_in_Avg_INFILL_FLAG,fdri_infill_flag_scheme
LWIN_FLAG_DEF,R_LW_in_Avg_QC_FLAG,fdri_quality_control_flag_scheme
LWOUT_FLAG_DEF,R_LW_out_Avg_CORE_FLAG,core_flag_scheme
LWOUT_FLAG_DEF,R_LW_out_Avg_CORRS_FLAG,fdri_correction_flag_scheme
LWOUT_FLAG_DEF,R_LW_out_Avg_INFILL_FLAG,fdri_infill_flag_scheme
LWOUT_FLAG_DEF,R_LW_out_Avg_QC_FLAG,fdri_quality_control_flag_scheme
NDVI_FLAG_DEF,NDVI_Avg_CORE_FLAG,core_flag_scheme
NDVI_FLAG_DEF,NDVI_Avg_CORRS_FLAG,fdri_correction_flag_scheme
NDVI_FLAG_DEF,NDVI_Avg_INFILL_FLAG,fdri_infill_flag_scheme
NDVI_FLAG_DEF,NDVI_Avg_QC_FLAG,fdri_quality_control_flag_scheme
NDVI_LWIN_FLAG_DEF,LW_irr_Avg_CORE_FLAG,core_flag_scheme
NDVI_LWIN_FLAG_DEF,LW_irr_Avg_CORRS_FLAG,fdri_correction_flag_scheme
NDVI_LWIN_FLAG_DEF,LW_irr_Avg_INFILL_FLAG,fdri_infill_flag_scheme
NDVI_LWIN_FLAG_DEF,LW_irr_Avg_QC_FLAG,fdri_quality_control_flag_scheme
NDVI_LWOUT_FLAG_DEF,LW_rad_Avg_CORE_FLAG,core_flag_scheme
NDVI_LWOUT_FLAG_DEF,LW_rad_Avg_CORRS_FLAG,fdri_correction_flag_scheme
NDVI_LWOUT_FLAG_DEF,LW_rad_Avg_INFILL_FLAG,fdri_infill_flag_scheme
NDVI_LWOUT_FLAG_DEF,LW_rad_Avg_QC_FLAG,fdri_quality_control_flag_scheme
NDVI_SWIN_FLAG_DEF,SW_irr_Avg_CORE_FLAG,core_flag_scheme
NDVI_SWIN_FLAG_DEF,SW_irr_Avg_CORRS_FLAG,fdri_correction_flag_scheme
NDVI_SWIN_FLAG_DEF,SW_irr_Avg_INFILL_FLAG,fdri_infill_flag_scheme
NDVI_SWIN_FLAG_DEF,SW_irr_Avg_QC_FLAG,fdri_quality_control_flag_scheme
NDVI_SWOUT_FLAG_DEF,SW_rad_Avg_CORE_FLAG,core_flag_scheme
NDVI_SWOUT_FLAG_DEF,SW_rad_Avg_CORRS_FLAG,fdri_correction_flag_scheme
NDVI_SWOUT_FLAG_DEF,SW_rad_Avg_INFILL_FLAG,fdri_infill_flag_scheme
NDVI_SWOUT_FLAG_DEF,SW_rad_Avg_QC_FLAG,fdri_quality_control_flag_scheme
PA_FLAG_DEF,Pressure_Avg_CORE_FLAG,core_flag_scheme
PA_FLAG_DEF,Pressure_Avg_CORRS_FLAG,fdri_correction_flag_scheme
PA_FLAG_DEF,Pressure_Avg_INFILL_FLAG,fdri_infill_flag_scheme
PA_FLAG_DEF,Pressure_Avg_QC_FLAG,fdri_quality_control_flag_scheme
PERM_0_FLAG_DEF,CS655_0_P_CORE_FLAG,core_flag_scheme
PERM_0_FLAG_DEF,CS655_0_P_CORRS_FLAG,fdri_correction_flag_scheme
PERM_0_FLAG_DEF,CS655_0_P_INFILL_FLAG,fdri_infill_flag_scheme
PERM_0_FLAG_DEF,CS655_0_P_QC_FLAG,fdri_quality_control_flag_scheme
PERM_1_FLAG_DEF,CS655_1_P_CORE_FLAG,core_flag_scheme
PERM_1_FLAG_DEF,CS655_1_P_CORRS_FLAG,fdri_correction_flag_scheme
PERM_1_FLAG_DEF,CS655_1_P_INFILL_FLAG,fdri_infill_flag_scheme
PERM_1_FLAG_DEF,CS655_1_P_QC_FLAG,fdri_quality_control_flag_scheme
PERM_2_FLAG_DEF,CS655_2_P_CORE_FLAG,core_flag_scheme
PERM_2_FLAG_DEF,CS655_2_P_CORRS_FLAG,fdri_correction_flag_scheme
PERM_2_FLAG_DEF,CS655_2_P_INFILL_FLAG,fdri_infill_flag_scheme
PERM_2_FLAG_DEF,CS655_2_P_QC_FLAG,fdri_quality_control_flag_scheme
PERM_3_FLAG_DEF,CS655_3_P_CORE_FLAG,core_flag_scheme
PERM_3_FLAG_DEF,CS655_3_P_CORRS_FLAG,fdri_correction_flag_scheme
PERM_3_FLAG_DEF,CS655_3_P_INFILL_FLAG,fdri_infill_flag_scheme
PERM_3_FLAG_DEF,CS655_3_P_QC_FLAG,fdri_quality_control_flag_scheme
PERM_4_FLAG_DEF,CS655_4_P_CORE_FLAG,core_flag_scheme
PERM_4_FLAG_DEF,CS655_4_P_CORRS_FLAG,fdri_correction_flag_scheme
PERM_4_FLAG_DEF,CS655_4_P_INFILL_FLAG,fdri_infill_flag_scheme
