"ID","asset_PM_ID","asset_SiteID","asset_Name","asset_SerialNumber","asset_PartNumber","asset_PurchasingProject","asset_AcquiredDate","asset_CEHAssetNumber","asset_PurchaseOrderNumber","asset_PurchaseOrderDate","asset_POAttachments","asset_PurchasePrice","asset_ProjectManager","asset_RetiredDate","asset_CurrentCondition","asset_Obsolete","asset_Contract_Required","asset_Instrument_Type","asset_ContractorID","asset_Contractor","asset_Site","asset_Description","asset_Quantity","asset_Type","asset_Country_of_Origin","asset_Manufacturer","asset_Supplier","asset_Model","asset_Version","asset_Firmware","asset_Software","asset_Calibration_Interval","asset_Calibration_Requirements","asset_Manufacture_Date","asset_Height","asset_Depth","asset_Canopy_Height","asset_Test","asset_Alias","asset_Keywords","asset_Servicing_Requirement","asset_Comments","asset_Specialist_training_or_other_requirements","asset_Status","asset_Other_ID"
1488,0,13,"CS310","5691","","09191","","","","",NA,NA,"Simon Teagle","","Excellent","",0,"PAR",0,NA,"Mill Farm, Chenies","",1,"","","","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
1530,0,13,"X10a - 10L Aluminium Cylinder","GC34NAV,E313680","","09191","","","","",NA,NA,"Simon Teagle","","","27/08/2030 00:00:00",0,"Other",0,NA,"Mill Farm, Chenies","",1,"","","","","","","","","0","CO2 Span Actual value: 449.6","","",NA,"",NA,"","","","","","In test",NA
1543,0,13,"EC155","1228","","09191","","","","",NA,NA,"Simon Teagle","","Excellent","",0,"Gas analyser (CPEC)",0,NA,"Mill Farm, Chenies","",1,"Gas analyser (OPEC)","","Campbell Scientific","Campbell Scientific","EC155","","","","0","","","3m",NA,"0.1m",NA,"","","","","","In test",NA
1544,0,13,"Sample Cell Flow Module","3414","","09191","","","","",NA,NA,"Simon Teagle","","","",0,"Gas analyser (CPEC)",0,NA,"Mill Farm, Chenies","",1,"","","","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
1546,0,13,"CSAT3","2623","","09191","","","","",NA,NA,"Simon Teagle","","","",0,"Anemometer",0,NA,"Mill Farm, Chenies","",1,"","","Campbell Scientific","","","","","","0","","","3m",NA,"0.1m",NA,"","","","","","In test",NA
1547,0,13,"EC100","","","09191","","","","",NA,NA,"Simon Teagle","","","",0,"",0,NA,"Mill Farm, Chenies","",1,"","","Campbell Scientific","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
1548,0,13,"Pump Module","1431","","09191","","","","",NA,NA,"Simon Teagle","","","",0,"Gas analyser (CPEC)",0,NA,"Mill Farm, Chenies","",1,"","","Campbell Scientific","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
1549,0,13,"Volt155","","","09191","","","","",NA,NA,"Simon Teagle","","","",0,"",0,NA,"Mill Farm, Chenies","",1,"","","","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
1550,0,13,"TEROS 22 WATER POTENTIAL & TEMPERATURE PROBE C/W 10 METRE CABLE","T22-000002320","","09191","","","","",NA,NA,"Simon Teagle","","","",0,"Tensiometer",0,NA,"Mill Farm, Chenies","",1,"","","","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
1551,0,13,"TEROS 22 WATER POTENTIAL & TEMPERATURE PROBE C/W 10 METRE CABLE","T22-000002323","","09191","","","","",NA,NA,"Simon Teagle","","","",0,"Tensiometer",0,NA,"Mill Farm, Chenies","",1,"","","","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
1552,0,13,"Gas Regulator","0055064239-3","","09191","","","","",NA,NA,"Simon Teagle","","","",0,"Other",0,NA,"Mill Farm, Chenies","",1,"","","","","","","","","0","","","",NA,"",NA,"","","","","","In test",NA
